singer,singerLabel,date_of_birth,place_of_birth,place_of_birthLabel,sex_or_gender,sex_or_genderLabel,image,social_media_followers
http://www.wikidata.org/entity/Q6096,Snoop Dogg,1971-10-20T00:00:00Z,http://www.wikidata.org/entity/Q16739,Long Beach,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Snoop%20Dogg%202019%20by%20Glenn%20Francis.jpg,19710859
http://www.wikidata.org/entity/Q6096,Snoop Dogg,1971-10-20T00:00:00Z,http://www.wikidata.org/entity/Q16739,Long Beach,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Snoop%20Dogg%202019%20by%20Glenn%20Francis.jpg,21016747
http://www.wikidata.org/entity/Q6096,Snoop Dogg,1971-10-20T00:00:00Z,http://www.wikidata.org/entity/Q16739,Long Beach,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Snoop%20Dogg%202019%20by%20Glenn%20Francis.jpg,55000000
http://www.wikidata.org/entity/Q6096,Snoop Dogg,1971-10-20T00:00:00Z,http://www.wikidata.org/entity/Q16739,Long Beach,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Snoop%20Dogg%202019%20by%20Glenn%20Francis.jpg,66000000
http://www.wikidata.org/entity/Q6107,Tupac Shakur,1971-06-16T00:00:00Z,http://www.wikidata.org/entity/Q1069687,East Harlem,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Tupac%20graffiti%2C%20Vlasotince%2C%20Serbia.jpg,732852
http://www.wikidata.org/entity/Q7346,John Coltrane,1926-09-23T00:00:00Z,http://www.wikidata.org/entity/Q1885566,Hamlet,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Coltrane%201963%20cropped%20ver2.jpg,18695
http://www.wikidata.org/entity/Q7542,Prince,1958-06-07T00:00:00Z,http://www.wikidata.org/entity/Q36091,Minneapolis,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Brussels%201986%20%28retouched%29.jpg,103733
http://www.wikidata.org/entity/Q7542,Prince,1958-06-07T00:00:00Z,http://www.wikidata.org/entity/Q36091,Minneapolis,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Brussels%201986%20%28retouched%29.jpg,2060000
http://www.wikidata.org/entity/Q8160,Carly Rose Sonenclar,1999-04-20T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Carly%20Rose%20Sonenclar%20X%20Factor%202012%20%282%29.jpg,583322
http://www.wikidata.org/entity/Q11617,Aaliyah,1979-01-16T00:00:00Z,http://www.wikidata.org/entity/Q18419,Brooklyn,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Aaliyah-02.jpg,151247
